date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:48:11	1892/1892	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-764%22	https://colorlib.com/polygon/vendors/datatables.net-responsive-bs/js/responsive.bootstrap.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-responsive-bs/js/responsive.bootstrap.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:48:13	11373/11373	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-2c6d%22	https://colorlib.com/polygon/vendors/datatables.net-scroller/js/dataTables.scroller.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-scroller/js/dataTables.scroller.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:48:13	11056/11056	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-2b30%22	https://colorlib.com/polygon/vendors/datatables.net-responsive/js/dataTables.responsive.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/datatables.net-responsive/js/dataTables.responsive.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:48:19	20848/20848	---M--	200	added ('OK')	image/png	etag:%2258882170-5612%22	https://colorlib.com/polygon/gentelella/images/inbox.png	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/gentelella/images/inbox.png	(from https://colorlib.com/polygon/gentelella/inbox.html)
06:48:20	80025/80025	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-13899%22	https://colorlib.com/polygon/vendors/jszip/dist/jszip.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/jszip/dist/jszip.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:49:30	479408/479408	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-750b0%22	https://colorlib.com/polygon/vendors/echarts/dist/echarts.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/echarts/dist/echarts.min.js	(from https://colorlib.com/polygon/gentelella/echarts.html)
06:49:51	426274/426274	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-68122%22	https://colorlib.com/polygon/vendors/pdfmake/build/pdfmake.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/pdfmake/build/pdfmake.min.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:52:21	283770/283770	---M--	200	added ('OK')	image/jpeg	etag:%2258882170-46f08%22	https://colorlib.com/polygon/gentelella/images/media.jpg	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/gentelella/images/media.jpg	(from https://colorlib.com/polygon/gentelella/media_gallery.html)
06:52:23	42839/42839	---MCZ	200	added ('OK')	text/css	etag:W/%2258882170-a757%22	https://colorlib.com/polygon/vendors/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.min.css	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.min.css	(from https://colorlib.com/polygon/gentelella/fixed_sidebar.html)
06:52:26	44715/44715	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-aeab%22	https://colorlib.com/polygon/vendors/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.concat.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.concat.min.js	(from https://colorlib.com/polygon/gentelella/fixed_sidebar.html)
06:52:36	32961/32961	---M--	200	added ('OK')	image/jpeg	etag:%2258882170-85ae%22	https://colorlib.com/polygon/gentelella/images/prod-2.jpg	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/gentelella/images/prod-2.jpg	(from https://colorlib.com/polygon/gentelella/e_commerce.html)
06:52:38	45990/45990	---M--	200	added ('OK')	image/jpeg	etag:%2258882170-bcbb%22	https://colorlib.com/polygon/gentelella/images/prod-1.jpg	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/gentelella/images/prod-1.jpg	(from https://colorlib.com/polygon/gentelella/e_commerce.html)
06:52:51	26845/26845	---M--	200	added ('OK')	image/jpeg	etag:%2258882170-6d3b%22	https://colorlib.com/polygon/gentelella/images/prod-4.jpg	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/gentelella/images/prod-4.jpg	(from https://colorlib.com/polygon/gentelella/e_commerce.html)
06:52:51	32736/32736	---M--	200	added ('OK')	image/jpeg	etag:%2258882170-8489%22	https://colorlib.com/polygon/gentelella/images/prod-5.jpg	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/gentelella/images/prod-5.jpg	(from https://colorlib.com/polygon/gentelella/e_commerce.html)
06:52:57	21620/21620	---M--	200	added ('OK')	image/jpeg	etag:%2258882170-554f%22	https://colorlib.com/polygon/gentelella/images/prod-3.jpg	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/gentelella/images/prod-3.jpg	(from https://colorlib.com/polygon/gentelella/e_commerce.html)
06:53:01	52789/52789	---MCZ	200	added ('OK')	text/css	etag:W/%2258882170-ce35%22	https://colorlib.com/polygon/vendors/animate.css/animate.min.css	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/animate.css/animate.min.css	(from https://colorlib.com/polygon/gentelella/login.html)
06:53:09	85578/85578	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-14e4a%22	https://colorlib.com/polygon/vendors/jquery/dist/jquery.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/jquery/dist/jquery.min.js	(from https://colorlib.com/polygon/gentelella/index.html)
06:53:12	286/286	---M--	200	added ('OK')	image/png	etag:%2258882170-130%22	https://colorlib.com/polygon/vendors/ion.rangeSlider/img/sprite-skin-flat.png	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/ion.rangeSlider/img/sprite-skin-flat.png	(from https://colorlib.com/polygon/vendors/ion.rangeSlider/css/ion.rangeSlider.skinFlat.css)
06:53:14	4143/4143	---M--	200	added ('OK')	image/png	etag:%2258882170-102f%22	https://colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/img/bootstrap-colorpicker/saturation.png	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/img/bootstrap-colorpicker/saturation.png	(from https://colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/css/bootstrap-colorpicker.min.css)
06:53:14	384/384	---M--	200	added ('OK')	image/png	etag:%2258882170-1f8%22	https://colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/img/bootstrap-colorpicker/hue.png	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/img/bootstrap-colorpicker/hue.png	(from https://colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/css/bootstrap-colorpicker.min.css)
06:53:15	468/468	---M--	200	added ('OK')	image/png	etag:%2258882170-1e8%22	https://colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/img/bootstrap-colorpicker/alpha.png	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/img/bootstrap-colorpicker/alpha.png	(from https://colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/css/bootstrap-colorpicker.min.css)
06:53:15	382/382	---M--	200	added ('OK')	image/png	etag:%2258882170-1de%22	https://colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/img/bootstrap-colorpicker/hue-horizontal.png	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/img/bootstrap-colorpicker/hue-horizontal.png	(from https://colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/css/bootstrap-colorpicker.min.css)
06:53:17	557/557	---M--	200	added ('OK')	image/png	etag:%2258882170-22d%22	https://colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/img/bootstrap-colorpicker/alpha-horizontal.png	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/img/bootstrap-colorpicker/alpha-horizontal.png	(from https://colorlib.com/polygon/vendors/mjolnic-bootstrap-colorpicker/dist/css/bootstrap-colorpicker.min.css)
06:53:24	24362/24362	---M--	200	added ('OK')	image/jpeg	etag:%2258882170-6478%22	https://colorlib.com/polygon/gentelella/images/picture.jpg	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/gentelella/images/picture.jpg	(from https://colorlib.com/polygon/gentelella/profile.html)
06:53:51	92544/92544	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-16980%22	https://colorlib.com/polygon/vendors/raphael/raphael.min.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/raphael/raphael.min.js	(from https://colorlib.com/polygon/gentelella/index3.html)
06:54:48	567638/567638	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-8a956%22	https://colorlib.com/polygon/vendors/pdfmake/build/vfs_fonts.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/pdfmake/build/vfs_fonts.js	(from https://colorlib.com/polygon/gentelella/tables_dynamic.html)
06:54:52	1158/1158	---M--	200	added ('OK')	image/png	etag:%2258882170-bb6%22	https://colorlib.com/polygon/vendors/malihu-custom-scrollbar-plugin/mCSB_buttons.png	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/malihu-custom-scrollbar-plugin/mCSB_buttons.png	(from https://colorlib.com/polygon/vendors/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.min.css)
06:55:38	47712/47712	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258882170-ba60%22	https://colorlib.com/polygon/vendors/jqvmap/dist/maps/jquery.vmap.usa.js	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/vendors/jqvmap/dist/maps/jquery.vmap.usa.js	(from https://colorlib.com/polygon/gentelella/other_charts.html)
06:56:02	154739/154739	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2258882170-266ac%22	https://colorlib.com/polygon/gentelella/images/cropper.jpg	C:/Users/Suneth%20Priyadarshana/Desktop/templates/Gentellela/colorlib.com/polygon/gentelella/images/cropper.jpg	(from https://colorlib.com/polygon/gentelella/form_advanced.html)
